run,dataset,smoothing,method,label,corr_sigma_ms,trial,start_s,end_s,correlation
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,50.0,5,1225.4301799999957,1241.8268799999933,0.9954622838826883
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,75.0,0,85.09724000000278,101.49371999999859,0.9791921084755052
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,75.0,1,371.7942400000029,388.1907199999987,0.9797288061027718
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,75.0,2,616.4316799999942,632.8283200000005,0.9771469611182652
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,75.0,3,709.1003400000045,725.4967599999945,0.9685296664849958
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,75.0,4,931.3550589999941,947.7512790000037,0.9821684969976957
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,75.0,5,1225.4301799999957,1241.8268799999933,0.9966257126544096
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,100.0,0,85.09724000000278,101.49371999999859,0.9796875680765276
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,100.0,1,371.7942400000029,388.1907199999987,0.9812212661790548
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,100.0,2,616.4316799999942,632.8283200000005,0.9784894661221286
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,100.0,3,709.1003400000045,725.4967599999945,0.9747610038994965
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,100.0,4,931.3550589999941,947.7512790000037,0.9830829938039706
pgas_jG8f_params,jGCaMP8f_ANM471993_cell02,raw,pgas,pgas,100.0,5,1225.4301799999957,1241.8268799999933,0.9972869983726315
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,0,1079.436480999997,1095.8332809999993,0.8711907593301321
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,1,1386.7321599999996,1403.1293600000063,0.8403527198491642
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,2,1584.0937209999975,1600.4908810000052,0.8917988532552631
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,3,1828.2120609999984,1844.609221000006,0.7353615529088727
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,4,2050.862699999998,2067.2599400000036,0.8277597750067063
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,5,2168.4384810000047,2184.8356210000056,0.854958048699038
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,6,2495.991120999999,2512.388441000003,0.8979570414466932
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,7,2697.8365210000047,2714.233840999994,0.8336834555878322
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,10.0,8,2839.852960000004,2856.2502600000007,0.8886702892009077
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,20.0,0,1079.436480999997,1095.8332809999993,0.9121400799246104
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,20.0,1,1386.7321599999996,1403.1293600000063,0.8853591921631981
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,20.0,2,1584.0937209999975,1600.4908810000052,0.9223381839272083
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,20.0,3,1828.2120609999984,1844.609221000006,0.7684192727974096
pgas_jG8f_params,jGCaMP8f_ANM471993_cell03,raw,pgas,pgas,20.0,4,2050.862699999998,2067.2599400000036,0.8768616927031255
