G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
3.64362e-05,933.673,1.21146e-05,9.15683,8.10541,2.89134,0.0129115,0.0578754,1.75914,0.106578,0.095426
3.5946e-05,933.673,1.21146e-05,9.15683,8.17315,2.97611,0.0131763,0.0513627,2.06755,0.0984029,0.103322
3.6454e-05,940.384,1.21146e-05,9.15683,8.17315,3.07885,0.0133807,0.00574625,2.5606,0.205673,0.0860355
3.6454e-05,940.384,1.21146e-05,9.15683,7.67215,3.08216,0.0139688,0.013322,2.45676,0.0833177,0.14602
3.63448e-05,953.79,1.21146e-05,9.15683,7.67215,3.13736,0.0136249,0.0286641,3.1103,0.121588,0.174569
3.63448e-05,953.79,1.21146e-05,9.15683,7.74878,3.13736,0.0138279,0.046929,2.76434,0.129622,0.101519
3.68103e-05,954.341,1.21446e-05,9.15683,7.49879,3.13736,0.0129128,0.0317648,2.49493,0.181898,0.106249
3.84499e-05,954.341,1.21595e-05,9.15683,7.53237,3.19776,0.0135968,0.105266,2.28788,0.0876509,0.0525657
3.71436e-05,958.113,1.21595e-05,9.24931,7.53237,3.31783,0.0142539,0.0128386,1.64065,0.0753368,0.0805302
3.60589e-05,958.113,1.21139e-05,9.19225,7.63555,3.28765,0.0128793,0.0826775,1.98541,0.100197,0.0807514
3.62273e-05,961.642,1.21139e-05,9.27004,7.87324,3.28765,0.013569,0.135462,1.76177,0.112309,0.0851123
3.62273e-05,961.642,1.21139e-05,9.27004,7.8444,3.28765,0.0132668,0.0311097,2.09546,0.124513,0.149464
3.62273e-05,947.07,1.21139e-05,9.32799,7.8444,3.25349,0.0129494,0.0463887,1.72126,0.141458,0.11953
3.62273e-05,947.07,1.21139e-05,9.32799,7.95193,3.1465,0.0140042,0.00728066,1.97903,0.156719,0.105494
3.66512e-05,953.21,1.21868e-05,9.32799,8.52717,3.1465,0.0137295,0.0764067,1.5543,0.127809,0.121177
3.66512e-05,953.21,1.21868e-05,9.32799,8.58506,3.38675,0.0129475,0.00448971,2.28316,0.084417,0.0522899
3.66512e-05,953.21,1.22247e-05,9.32799,8.71824,3.38675,0.0130098,0.00162502,1.71437,0.0876139,0.116675
3.57929e-05,953.21,1.22247e-05,9.32799,8.98004,3.38833,0.0138155,0.0108963,1.63215,0.139734,0.0839906
3.61719e-05,953.21,1.22247e-05,9.32799,8.98004,3.29386,0.014438,0.0370841,2.16948,0.116113,0.120351
3.67835e-05,953.21,1.22247e-05,9.35411,8.98004,3.08665,0.0135321,0.0142869,2.4094,0.123794,0.104789
3.67835e-05,962.925,1.23155e-05,9.35411,8.94474,3.25132,0.013009,0.00204948,1.94978,0.156444,0.0721519
3.67835e-05,962.925,1.23155e-05,9.4616,9.72736,3.25132,0.0138482,0.149688,2.01422,0.119833,0.0560253
3.67835e-05,962.925,1.23155e-05,9.4616,9.72736,3.23301,0.013964,0.0342963,1.85778,0.159538,0.0493406
3.56422e-05,962.925,1.23155e-05,9.4616,9.72736,3.24925,0.0132364,0.0125936,1.61965,0.111231,0.112476
3.59359e-05,962.925,1.23155e-05,9.4616,9.72736,3.21091,0.0129092,0.00285418,1.62766,0.103056,0.0922915
3.59359e-05,962.925,1.22471e-05,9.4616,9.98924,3.10219,0.0131073,0.108926,1.88677,0.167812,0.0654821
3.6304e-05,971.616,1.22471e-05,9.4616,10.1508,3.06873,0.013772,0.0976522,2.11923,0.183836,0.109677
3.79022e-05,968.696,1.24335e-05,9.4616,10.0315,3.06873,0.0123789,0.0192969,2.7263,0.10557,0.138657
3.79022e-05,968.696,1.24335e-05,9.4616,10.0315,3.22055,0.0139846,0.0099779,2.43026,0.210696,0.146407
3.79022e-05,965.471,1.24335e-05,9.4616,10.2534,3.36964,0.0127383,0.055948,3.09907,0.118023,0.162014
3.69295e-05,965.471,1.24335e-05,9.4616,10.2534,3.2623,0.0128913,0.00294734,2.48637,0.133685,0.0574804
3.69295e-05,979.53,1.24335e-05,9.4616,10.2245,3.10865,0.0133314,0.0576981,2.06777,0.0844774,0.142157
3.70112e-05,978.457,1.24335e-05,9.4616,10.2245,3.17953,0.0130728,0.0378675,2.03201,0.100232,0.0782584
3.70112e-05,978.457,1.24335e-05,9.36487,9.95859,3.17953,0.0136988,0.0807954,1.84622,0.0898177,0.0553975
3.70112e-05,968.513,1.24335e-05,9.39252,10.3491,3.37875,0.013367,0.00303014,2.07113,0.0808514,0.140611
3.82998e-05,956.666,1.24335e-05,9.39252,10.3863,3.28893,0.0134139,0.0214524,1.90486,0.0690047,0.136463
3.74305e-05,945.765,1.24335e-05,9.39252,10.3863,3.22894,0.0130664,0.0256881,2.22455,0.0678281,0.101041
3.74305e-05,942.257,1.22086e-05,9.39252,9.33229,3.26969,0.0135401,0.0190956,1.78286,0.0926739,0.0948283
3.74305e-05,942.257,1.22819e-05,9.31018,8.91324,3.24521,0.0128889,0.0779887,2.0941,0.0866938,0.0652224
3.75435e-05,942.257,1.22819e-05,9.33809,8.76978,3.17686,0.0132415,0.0121816,1.53318,0.0742862,0.0865259
3.75435e-05,942.257,1.22819e-05,9.33809,8.76978,3.18084,0.0131467,0.00405611,1.57987,0.067916,0.0667616
3.75435e-05,942.257,1.22819e-05,9.39531,8.86939,2.96797,0.0134459,0.0248172,1.66386,0.114461,0.108861
3.75435e-05,959.097,1.22819e-05,9.44496,8.86939,2.8883,0.0132334,0.00599075,2.0141,0.0944514,0.145411
3.75435e-05,945.06,1.22855e-05,9.44496,9.11339,2.78947,0.0136025,0.0250741,1.68132,0.189816,0.0888831
3.75435e-05,945.06,1.22855e-05,9.44496,9.54194,2.78947,0.013018,0.00811514,2.16233,0.120819,0.0904992
3.71699e-05,955.786,1.22855e-05,9.44496,9.54194,2.86207,0.0131912,0.0256034,1.9832,0.0907082,0.0983985
3.63891e-05,955.786,1.22855e-05,9.44039,9.38941,3.00189,0.0136151,0.0208008,1.64317,0.167203,0.130733
3.74056e-05,953.22,1.22855e-05,9.44039,9.39381,3.00189,0.0132473,0.0121982,2.57143,0.138565,0.0945861
3.69243e-05,953.22,1.23333e-05,9.44039,9.43846,3.1087,0.0126649,0.0341651,1.86314,0.160263,0.118053
3.69243e-05,953.22,1.23333e-05,9.42712,9.27875,3.0896,0.0126611,0.00636624,1.7765,0.0670461,0.163359
3.66253e-05,953.22,1.2453e-05,9.42712,9.06889,3.0896,0.0134111,0.0600676,1.71806,0.146115,0.134238
3.66253e-05,953.22,1.25067e-05,9.42712,9.27243,3.09816,0.0129633,0.0111441,1.61114,0.117426,0.11593
3.66253e-05,956.851,1.25067e-05,9.42712,9.27953,3.00643,0.0128523,0.0111291,2.09221,0.0730047,0.0972056
3.66298e-05,956.851,1.25842e-05,9.42712,9.08066,3.09095,0.0143982,0.0258533,1.76591,0.173283,0.0691723
3.66298e-05,956.851,1.25842e-05,9.42712,9.08066,2.71617,0.0136336,0.0259793,2.18314,0.120841,0.19603
3.83189e-05,956.851,1.25842e-05,9.42712,9.08066,2.66276,0.0133698,0.0455116,2.82635,0.140756,0.1816
3.83189e-05,940.929,1.25842e-05,9.39175,9.04629,2.66276,0.0133111,0.0274583,2.16411,0.0911891,0.0795014
3.8482e-05,940.929,1.2606e-05,9.39175,8.9966,2.66276,0.0135344,0.0410932,1.31796,0.129774,0.157206
3.74379e-05,948.213,1.25934e-05,9.39175,8.78366,2.77683,0.0142785,0.0462617,1.82269,0.109409,0.124473
3.82082e-05,948.213,1.25115e-05,9.39175,9.15157,2.85803,0.0132637,0.0169554,2.15859,0.138741,0.0827902
3.72094e-05,948.213,1.248e-05,9.39175,9.61047,2.80951,0.0129758,0.036306,2.0313,0.128233,0.0983579
3.77518e-05,948.213,1.248e-05,9.39175,9.61047,2.95956,0.0133018,0.112199,1.78487,0.0754117,0.0713659
3.57079e-05,948.213,1.248e-05,9.39175,9.60049,2.92128,0.0129949,0.00451059,1.90803,0.0799656,0.107151
3.57079e-05,948.213,1.248e-05,9.39175,9.48038,2.7863,0.013085,0.0686621,1.6883,0.0946041,0.0576517
3.57079e-05,948.213,1.24323e-05,9.39175,9.571,2.85119,0.0138388,0.122233,1.70924,0.124483,0.122521
3.57224e-05,948.109,1.24323e-05,9.39175,9.52736,2.78591,0.0132877,0.00886354,2.50621,0.10687,0.155938
3.57224e-05,967.387,1.24323e-05,9.39175,9.67189,2.99291,0.0131625,0.00872287,2.80859,0.0694112,0.120576
3.58874e-05,969.007,1.24323e-05,9.58453,9.67189,2.84443,0.0138311,0.00671071,2.13355,0.0990023,0.0868899
3.58874e-05,969.007,1.24323e-05,9.58453,9.91637,3.03157,0.0127198,0.00849543,2.76059,0.12235,0.0545219
3.56078e-05,969.007,1.24554e-05,9.57639,10.053,2.61198,0.0138083,0.0985558,1.79853,0.082315,0.1281
3.56078e-05,955.951,1.24554e-05,9.57639,9.45741,2.57102,0.0129084,0.0273514,1.47983,0.123735,0.0709894
3.67532e-05,955.951,1.24554e-05,9.57639,9.45741,2.42055,0.01268,0.0181,2.04594,0.0610363,0.118958
3.68618e-05,955.951,1.24554e-05,9.57639,9.80928,2.45521,0.0132167,0.0487546,1.64821,0.181297,0.144218
3.68618e-05,955.951,1.24554e-05,9.57639,9.80928,2.43536,0.0137243,0.0269682,2.07085,0.0665219,0.0950779
3.59911e-05,955.951,1.25484e-05,9.57639,9.80928,2.3347,0.0134068,0.0097468,2.42339,0.0914738,0.0688605
3.65473e-05,955.951,1.25484e-05,9.57639,9.89318,2.31752,0.0140655,0.00101416,1.99269,0.0826531,0.0841556
3.7853e-05,955.951,1.25484e-05,9.57639,9.89318,2.10445,0.0128084,0.100499,2.28027,0.0730318,0.102487
3.84286e-05,970.034,1.25484e-05,9.57639,9.88274,2.10445,0.0140468,0.000810125,1.95174,0.160094,0.0986318
3.77284e-05,974.752,1.25484e-05,9.57639,9.88274,2.10445,0.0132439,0.106442,2.21161,0.0790006,0.134633
4.0748e-05,973.442,1.29149e-05,9.57639,9.59595,2.12381,0.0137791,0.00100278,1.84401,0.0651061,0.067114
4.09315e-05,973.442,1.29149e-05,9.57639,9.55159,2.15403,0.0135925,0.038503,1.78414,0.1161,0.0792006
4.0477e-05,973.442,1.29783e-05,9.43561,9.10765,2.33569,0.013951,0.00613739,2.15664,0.0973796,0.110354
4.11208e-05,955.038,1.29783e-05,9.43561,9.36596,2.4407,0.0133912,0.0458146,2.30443,0.171399,0.106141
3.98987e-05,955.038,1.29357e-05,9.5564,9.85988,2.44391,0.012941,0.0695722,2.05173,0.0734469,0.0864625
4.0158e-05,955.038,1.28954e-05,9.5564,10.0106,2.48824,0.0140896,0.0107875,2.09759,0.129897,0.121613
4.13769e-05,954.445,1.28954e-05,9.60614,10.0106,2.45198,0.0143844,0.0864558,1.88053,0.0782361,0.114086
4.09977e-05,970.731,1.28954e-05,9.6115,10.1516,2.54037,0.0133796,0.105536,2.00016,0.0785705,0.0894795
4.03734e-05,970.731,1.28954e-05,9.6115,9.65406,2.47571,0.0134729,0.00372297,1.9449,0.1053,0.156499
4.03734e-05,970.731,1.27723e-05,9.6115,9.85105,2.48715,0.0129047,0.00118046,2.0437,0.150218,0.0746806
4.02233e-05,970.731,1.27723e-05,9.6115,9.85105,2.48715,0.013906,0.0678294,2.32992,0.118839,0.0875947
3.99868e-05,981.911,1.27723e-05,9.6115,10.0071,2.48715,0.0134508,0.0154234,1.91168,0.0687037,0.106452
3.99868e-05,978.579,1.27723e-05,9.6696,10.0332,2.47597,0.0133932,0.0123873,1.84333,0.121209,0.103327
