G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
6.99973e-05,847.645,1.5064e-05,5.30648,4.89766,3.38718,0.00395916,0.000193498,1.49428,0.147353,0.078891
6.99973e-05,871.33,1.49991e-05,5.22669,5.44155,3.4375,0.00375248,0.0545651,1.38998,0.0847823,0.0856247
6.97981e-05,871.33,1.44049e-05,5.43938,5.44542,3.4375,0.0038564,0.0323951,1.37154,0.167869,0.112259
6.82776e-05,875.607,1.44049e-05,5.41802,5.31679,3.59549,0.00380208,0.0614167,1.5372,0.121245,0.0972106
6.7054e-05,907.753,1.44049e-05,5.44496,5.40936,3.59549,0.00387097,0.0141655,1.1689,0.118384,0.0947283
6.51791e-05,907.753,1.39548e-05,5.54466,5.23319,3.37665,0.00380798,0.0011779,1.27617,0.0717406,0.122023
6.56497e-05,907.753,1.39548e-05,5.54466,4.89944,3.29451,0.00409635,0.0237045,1.45332,0.0909262,0.0804696
6.60347e-05,883.664,1.36732e-05,5.54466,4.78125,3.14508,0.00394696,0.0924726,1.0548,0.147614,0.0743816
6.60347e-05,882.199,1.35707e-05,5.55241,4.78125,3.15337,0.0039267,0.0730341,1.01822,0.0836661,0.131453
6.7406e-05,873.179,1.37294e-05,5.55241,5.00656,2.90436,0.00380921,0.00201146,1.3894,0.101253,0.117897
6.7406e-05,873.179,1.37294e-05,5.69356,5.03748,2.97508,0.00388996,0.039205,1.10356,0.117031,0.146035
6.49598e-05,827.984,1.37294e-05,5.58567,5.03193,3.0113,0.00408111,0.0187104,1.06077,0.111231,0.0879693
6.53468e-05,827.984,1.37294e-05,5.58567,5.08286,3.13491,0.00400349,0.0231779,1.23303,0.0822767,0.117549
6.53468e-05,827.984,1.37294e-05,5.58567,4.77018,3.31671,0.00405791,0.0319594,1.14339,0.0926516,0.0854689
6.3775e-05,810.24,1.35682e-05,5.56669,4.77018,3.47419,0.00394707,0.00552594,1.01071,0.132107,0.123196
6.43299e-05,810.24,1.32419e-05,5.56669,4.73846,3.39721,0.00384638,0.0149917,1.70401,0.0716436,0.0866352
6.43299e-05,801.413,1.32419e-05,5.51791,4.98849,3.14904,0.00383931,0.0438122,1.35302,0.198387,0.125597
6.38099e-05,801.413,1.30993e-05,5.51791,4.8758,3.14904,0.00393771,0.0612516,1.83265,0.128958,0.088374
6.83025e-05,774.363,1.323e-05,5.48614,4.85191,3.14904,0.00393627,0.00270852,1.31821,0.0978465,0.0938487
6.83025e-05,771.87,1.323e-05,5.51854,4.88841,3.14904,0.0037504,0.0311616,1.33221,0.0936766,0.0660227
6.25273e-05,771.87,1.32355e-05,5.45949,4.88841,3.21457,0.00370811,0.0264377,1.19036,0.101516,0.0743379
6.28495e-05,773.4,1.27723e-05,5.47837,4.88841,3.23156,0.00379894,0.00493311,1.39759,0.0725148,0.076511
6.28495e-05,773.4,1.27723e-05,5.44298,4.88841,3.23923,0.00374099,0.0147845,1.34646,0.0646984,0.110782
6.18844e-05,773.4,1.27723e-05,5.44298,4.97501,3.21387,0.00389845,0.0307413,2.31706,0.069505,0.106644
6.18844e-05,788.894,1.31176e-05,5.36704,5.1378,3.2701,0.00404483,0.0574568,2.33959,0.181876,0.149986
6.18844e-05,789.86,1.31176e-05,5.48437,5.2897,3.41492,0.00414756,0.00339126,1.69467,0.150501,0.152102
6.05264e-05,789.86,1.28161e-05,5.48437,4.94751,3.41492,0.00395985,0.0316354,1.2048,0.0685364,0.0847055
6.05264e-05,784.922,1.28978e-05,5.48437,4.89402,3.43743,0.00396722,0.00291175,1.18823,0.152163,0.130526
6.05264e-05,764.1,1.2914e-05,5.59799,4.89402,3.47884,0.00395327,0.000642025,1.55132,0.11053,0.0775394
6.05264e-05,761.439,1.24513e-05,5.59799,4.88779,3.60231,0.00406223,0.0114884,2.18929,0.103783,0.121816
5.9722e-05,758.632,1.2628e-05,5.55099,4.72157,3.62468,0.00383173,0.038839,1.81032,0.0939785,0.10355
6.28894e-05,762.391,1.2628e-05,5.55099,4.80746,3.57553,0.00370507,0.00193604,1.32766,0.112363,0.0695592
6.2049e-05,762.391,1.25622e-05,5.68791,4.57557,3.58025,0.0038067,0.000701951,1.44376,0.0474966,0.132383
6.09912e-05,760.49,1.25622e-05,5.65562,4.4156,3.71984,0.00383623,0.129526,1.40778,0.142793,0.143094
6.09912e-05,743.319,1.25622e-05,5.65562,4.18738,3.84787,0.00388412,0.0231661,1.0933,0.119805,0.0868372
6.09912e-05,731.822,1.25622e-05,5.46022,4.0078,3.7066,0.00373801,0.077085,1.00427,0.0412776,0.0789478
5.97674e-05,731.822,1.25622e-05,5.46022,4.05037,3.7066,0.00374626,0.000897225,0.815169,0.204987,0.11953
5.8005e-05,779.06,1.25622e-05,5.46022,4.11618,3.84345,0.00393202,0.270988,0.987353,0.103233,0.0838312
5.8005e-05,779.06,1.25622e-05,5.41462,4.28719,3.72377,0.0038175,0.180302,1.31753,0.230987,0.0897188
5.69361e-05,758.443,1.25622e-05,5.36589,4.28719,3.72377,0.00394388,0.088771,1.454,0.0725121,0.171496
5.80201e-05,733.436,1.25622e-05,5.36589,3.94545,3.72377,0.00385987,0.0386969,0.933554,0.0845583,0.126711
5.81568e-05,716.165,1.25622e-05,5.38865,3.78394,3.96702,0.00404328,0.213374,1.39391,0.0649886,0.105633
5.81555e-05,716.165,1.25622e-05,5.38865,3.65884,3.89902,0.00393063,0.0386579,1.11557,0.126117,0.18693
5.81555e-05,712.132,1.28135e-05,5.33005,3.39473,3.94995,0.00408961,0.0238406,1.17787,0.111901,0.114329
5.74728e-05,712.132,1.2801e-05,5.33005,3.55206,3.90097,0.00414629,0.0828873,1.16419,0.0846605,0.107304
5.76863e-05,742.436,1.32181e-05,5.33005,3.54573,4.02551,0.00408994,0.10067,1.41954,0.108224,0.0660066
5.42656e-05,716.857,1.27549e-05,5.33005,3.54573,4.21871,0.00387596,0.0309883,0.999767,0.0895104,0.131774
5.31131e-05,706.013,1.24404e-05,5.35585,3.52205,4.33064,0.00385024,0.121269,1.22489,0.175317,0.147483
5.08259e-05,711.487,1.18331e-05,5.35585,3.4921,4.33064,0.00392256,0.00774284,1.65218,0.0811698,0.0696628
5.08074e-05,728.766,1.18355e-05,5.40214,3.41899,4.33064,0.00383067,0.109343,1.05094,0.0967039,0.0931005
4.93514e-05,744.34,1.18355e-05,5.40214,3.30451,4.34774,0.0042896,0.0566131,0.873009,0.126998,0.0676643
4.93514e-05,744.34,1.18355e-05,5.40214,3.29019,4.38967,0.00383958,0.165246,1.18508,0.0896131,0.056266
4.93514e-05,739.259,1.14098e-05,5.40214,3.43554,4.52363,0.00371559,0.0846701,1.46496,0.0907607,0.112673
5.08652e-05,740.71,1.14098e-05,5.40214,3.43554,4.63114,0.00392478,0.0545148,0.907282,0.107277,0.0797356
5.07823e-05,740.71,1.19376e-05,5.37606,3.60087,4.63114,0.00397228,0.0429029,1.65785,0.111279,0.082279
